date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:37	16608/16608	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2015:06:36%20GMT	https://dharma.crc.nd.edu/	./dharma/dharma.crc.nd.edu/index.html	(from )
10:06:37	2019/2019	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227e3-5307171c92a80%22	https://dharma.crc.nd.edu/templates/protostar-dharma/favicon.ico	./dharma/dharma.crc.nd.edu/templates/protostar-dharma/favicon.ico	(from https://dharma.crc.nd.edu/)
10:06:39	180034/180034	---M--	200	added ('OK')	text/css	etag:%222bf42-58643545ae885%22	https://dharma.crc.nd.edu/templates/protostar-dharma/css/template.css	./dharma/dharma.crc.nd.edu/templates/protostar-dharma/css/template.css	(from https://dharma.crc.nd.edu/)
10:06:39	661/661	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2006%20May%202024%2015:06:39%20GMT	https://dharma.crc.nd.edu/index.php/component/search/?id=20&Itemid=101&format=opensearch	./dharma/dharma.crc.nd.edu/index.php/component/search/index5496.html	(from https://dharma.crc.nd.edu/)
10:06:39	97646/97646	---M--	200	added ('OK')	application/javascript	etag:%2217d6e-5fffc2ae44e00%22	https://dharma.crc.nd.edu/media/jui/js/jquery.min.js?d1d4c933315f4824150e82cd6bd46437	./dharma/dharma.crc.nd.edu/media/jui/js/jquery.minf928.js	(from https://dharma.crc.nd.edu/)
10:06:40	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5fffc2ae44e00%22	https://dharma.crc.nd.edu/media/jui/js/jquery-noconflict.js?d1d4c933315f4824150e82cd6bd46437	./dharma/dharma.crc.nd.edu/media/jui/js/jquery-noconflictf928.js	(from https://dharma.crc.nd.edu/)
10:06:41	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5fffc2ae44e00%22	https://dharma.crc.nd.edu/media/jui/js/jquery-migrate.min.js?d1d4c933315f4824150e82cd6bd46437	./dharma/dharma.crc.nd.edu/media/jui/js/jquery-migrate.minf928.js	(from https://dharma.crc.nd.edu/)
10:06:42	491/491	---M--	200	added ('OK')	application/javascript	etag:%221eb-5fffc2ae44e00%22	https://dharma.crc.nd.edu/media/system/js/caption.js?d1d4c933315f4824150e82cd6bd46437	./dharma/dharma.crc.nd.edu/media/system/js/captionf928.js	(from https://dharma.crc.nd.edu/)
10:06:43	29126/29126	---M--	200	added ('OK')	application/javascript	etag:%2271c6-5fffc2ae44e00%22	https://dharma.crc.nd.edu/media/jui/js/bootstrap.min.js?d1d4c933315f4824150e82cd6bd46437	./dharma/dharma.crc.nd.edu/media/jui/js/bootstrap.minf928.js	(from https://dharma.crc.nd.edu/)
10:06:44	1340/1340	---M--	200	added ('OK')	application/javascript	etag:%2253c-5307171c92a80%22	https://dharma.crc.nd.edu/templates/protostar-dharma/js/template.js	./dharma/dharma.crc.nd.edu/templates/protostar-dharma/js/template.js	(from https://dharma.crc.nd.edu/)
